id,kanji,meaning,reading,tag
1,会う,"to meet, to see",あう,JLPT N5
2,青,blue,あお,JLPT N5
3,青い,blue,あおい,JLPT N5
4,赤,red,あか,JLPT N5
5,赤い,red,あかい,JLPT N5
6,明るい,bright (in reference to personality or weather); cheerful,あかるい,JLPT N5
7,秋,fall (season),あき,JLPT N5
8,開く,"to open, to become open",あく,JLPT N5
9,開ける,to open (v.t.),あける,JLPT N5
10,上げる,"to raise, to lift",あげる,JLPT N5
11,朝,morning,あさ,JLPT N5
12,朝御飯,breakfast,あさごはん,JLPT N5
13,明後日,day after tomorrow,あさって,JLPT N5
14,足; 脚,foot; leg,あし,JLPT N5
15,明日,tomorrow,あした,JLPT N5
16,遊ぶ,to play; to spend time pleasantly; to hang out,あそぶ,JLPT N5
17,暖かい,warm,あたたかい,JLPT N5
18,頭,head,あたま,JLPT N5
19,新しい,new,あたらしい,JLPT N5
20,暑い,"hot (in reference to weather), warm",あつい,JLPT N5
21,熱い,hot (objects),あつい,JLPT N5
22,厚い,"kind, warm(hearted), thick, deep",あつい,JLPT N5
23,後,afterwards (later); in the future; the rest; since then,あと,JLPT N5
24,兄,(my) older brother (humble),あに,JLPT N5
25,姉,(my) older sister (humble),あね,JLPT N5
26,浴びる,"to bathe, to shower",あびる,JLPT N5
27,危ない,"dangerous, critical",あぶない,JLPT N5
28,甘い,"generous, sweet",あまい,JLPT N5
29,余り,not very; surplus,あまり,JLPT N5
30,雨,rain,あめ,JLPT N5
31,飴,(hard) candy,あめ,JLPT N5
32,洗う,to wash,あらう,JLPT N5
33,在る,"to be, to have",ある,JLPT N5
34,有る,"to be, to have",ある,JLPT N5
35,歩く,to walk,あるく,JLPT N5
36,言う,to say,いう,JLPT N5
37,家,"house, home",いえ,JLPT N5
38,行く,to go,いく,JLPT N5
39,池,pond,いけ,JLPT N5
40,医者,doctor; physician,いしゃ,JLPT N5
41,椅子,chair,いす,JLPT N5
42,忙しい,"busy (people, days)",いそがしい,JLPT N5
43,痛い,hurt; painful; sore,いたい,JLPT N5
44,一,one,いち,JLPT N5
45,一日,one day (duration),いちにち,JLPT N5
46,一番,"best (most), first, number one",いちばん,JLPT N5
47,五日,five days; fifth day of the month,いつか,JLPT N5
48,一緒,together,いっしょ,JLPT N5
49,五つ,five things,いつつ,JLPT N5
50,犬,dog,いぬ,JLPT N5
51,今,now,いま,JLPT N5
52,意味,"meaning, significance",いみ,JLPT N5
53,妹,younger sister (humble),いもうと,JLPT N5
54,嫌,"disagreeable, detestable, unpleasant",いや,JLPT N5
55,入口,entrance,いりぐち,JLPT N5
56,居る,"(humble) to be (animate), to exist",いる,JLPT N5
57,要る,to need,いる,JLPT N5
58,入れる,to put in,いれる,JLPT N5
59,色,color,いろ,JLPT N5
60,色々,various,いろいろ,JLPT N5
61,上,"above (up, top, etc.), over, on top of",うえ,JLPT N5
62,後ろ,"back, behind, rear",うしろ,JLPT N5
63,薄い,"thin, weak",うすい,JLPT N5
64,歌,a song,うた,JLPT N5
65,歌う,to sing,うたう,JLPT N5
66,生まれる,to be born,うまれる,JLPT N5
67,海,"sea, beach",うみ,JLPT N5
68,売る,to sell (v.t.),うる,JLPT N5
69,上着,"coat, jacket",うわぎ,JLPT N5
70,絵,a painting; a picture; a drawing,え,JLPT N5
71,映画,"movie, film",えいが,JLPT N5
72,映画館,"movie theater, cinema",えいがかん,JLPT N5
73,英語,English (language),えいご,JLPT N5
74,駅,station,えき,JLPT N5
75,～円,Yen,～えん,JLPT N5
76,鉛筆,pencil,えんぴつ,JLPT N5
77,美味しい,"delicious, tasty",おいしい,JLPT N5
78,多い,many; there are a lot,おおい,JLPT N5
79,大きい,"big, large",おおきい,JLPT N5
80,大きな,big,おおきな,JLPT N5
81,大勢,great number of people,おおぜい,JLPT N5
82,お母さん,mother (formal),おかあさん,JLPT N5
83,お菓子,"confections, sweets, snack",おかし,JLPT N5
84,お金,money,おかね,JLPT N5
85,起きる,"to get up (e.g., from sleeping); to happen",おきる,JLPT N5
86,置く,to put; to lay; to place,おく,JLPT N5
87,奥さん,(someone else's) wife (hon.),おくさん,JLPT N5
88,お酒,sake; alcohol,おさけ,JLPT N5
89,お皿,"plate, dish",おさら,JLPT N5
90,伯父; 叔父さん,"uncle, middle-aged man",おじさん,JLPT N5
91,教える,"to teach, to inform, to instruct",おしえる,JLPT N5
92,押す,"to push, to press, to stamp (e.g., a passport)",おす,JLPT N5
